attacked_fraction,false_price_eur_per_kwh,attacked_evs,attacked_evs_connected_at_target,unique_attacked_evs_selected,unique_attacked_evs_rescheduled,unique_attacked_evs_moved_into_target,total_attack_accepted_changes,total_attacked_accepted_changes,total_moved_into_target_changes,baseline_target_demand_mw,maximum_target_demand_mw,maximum_target_increase_mw,maximum_target_increase_percent,attack_end_target_demand_mw,attack_end_target_increase_mw,attack_end_target_increase_percent,baseline_target_price_eur_per_kwh,maximum_target_legitimate_price_eur_per_kwh,attack_end_target_legitimate_price_eur_per_kwh,baseline_daily_peak_mw,maximum_daily_peak_mw,attack_end_daily_peak_mw,baseline_daily_generation_cost_eur,maximum_attack_daily_generation_cost_eur,maximum_generation_cost_increase_eur,attack_end_generation_cost_eur,attack_end_generation_cost_increase_eur,recovery_converged,recovery_iterations,recovered_target_demand_mw,final_distance_from_baseline_mw,recovered_generation_cost_eur,recovered_generation_cost_difference_eur
0.05,0.0,150,79,130,70,70,70,70,70,30.0,30.358741586914004,0.3587415869140038,1.195805289713346,30.358741586914004,0.3587415869140038,1.195805289713346,0.399999992,0.4040292038490547,0.4040292038490547,30.0,30.358741586914004,30.358741586914004,67859.02412259059,67923.79275929465,64.76863670405874,67923.79275929465,64.76863670405874,True,26,30.0364,0.17783139958424599,67864.74750129662,5.72337870602496
0.05,0.05,150,79,130,70,70,70,70,70,30.0,30.358741586914004,0.3587415869140038,1.195805289713346,30.358741586914004,0.3587415869140038,1.195805289713346,0.399999992,0.4040292038490547,0.4040292038490547,30.0,30.358741586914004,30.358741586914004,67859.02412259059,67923.79275929465,64.76863670405874,67923.79275929465,64.76863670405874,True,26,30.0364,0.17783139958424599,67864.74750129662,5.72337870602496
0.05,0.1,150,79,130,70,70,70,70,70,30.0,30.358741586914004,0.3587415869140038,1.195805289713346,30.358741586914004,0.3587415869140038,1.195805289713346,0.399999992,0.4040292038490547,0.4040292038490547,30.0,30.358741586914004,30.358741586914004,67859.02412259059,67923.79275929465,64.76863670405874,67923.79275929465,64.76863670405874,True,26,30.0364,0.17783139958424599,67864.74750129662,5.72337870602496
0.05,0.2,150,79,130,26,26,26,26,26,30.0,30.198995279507894,0.1989952795078942,0.6633175983596473,30.198995279507894,0.1989952795078942,0.6633175983596473,0.399999992,0.40226735958905097,0.40226735958905097,30.0,30.198995279507894,30.198995279507894,67859.02412259059,67894.7279808856,35.703858295004466,67894.7279808856,35.703858295004466,True,16,30.0432,0.11990616619313421,67866.23333469307,7.209212102476158
0.05,0.3,150,79,130,0,0,0,0,0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.399999992,0.399999992,0.399999992,30.0,30.0,30.0,67859.02412259059,67859.02412259059,0.0,67859.02412259059,0.0,True,5,30.0,0.0,67859.02412259059,0.0
0.1,0.0,300,151,259,129,129,129,129,129,30.0,30.687584486642322,0.6875844866423222,2.2919482888077405,30.687584486642322,0.6875844866423222,2.2919482888077405,0.399999992,0.407799514197666,0.407799514197666,30.0,30.687584486642322,30.687584486642322,67859.02412259059,67985.22231204575,126.19818945515726,67985.22231204575,126.19818945515726,True,31,30.04,0.2404150319176832,67865.34074080558,6.316618214987102
0.1,0.05,300,151,259,129,129,129,129,129,30.0,30.687584486642322,0.6875844866423222,2.2919482888077405,30.687584486642322,0.6875844866423222,2.2919482888077405,0.399999992,0.407799514197666,0.407799514197666,30.0,30.687584486642322,30.687584486642322,67859.02412259059,67985.22231204575,126.19818945515726,67985.22231204575,126.19818945515726,True,31,30.04,0.2404150319176832,67865.34074080558,6.316618214987102
0.1,0.1,300,151,259,129,129,129,129,129,30.0,30.687584486642322,0.6875844866423222,2.2919482888077405,30.687584486642322,0.6875844866423222,2.2919482888077405,0.399999992,0.407799514197666,0.407799514197666,30.0,30.687584486642322,30.687584486642322,67859.02412259059,67985.22231204575,126.19818945515726,67985.22231204575,126.19818945515726,True,31,30.04,0.2404150319176832,67865.34074080558,6.316618214987102
0.1,0.2,300,151,259,53,53,53,53,53,30.0,30.41263817923621,0.41263817923621104,1.3754605974540368,30.41263817923621,0.41263817923621104,1.3754605974540368,0.399999992,0.4047217572116682,0.4047217572116682,30.0,30.41263817923621,30.41263817923621,67859.02412259059,67934.00116275511,74.9770401645219,67934.00116275511,74.9770401645219,True,26,30.0216,0.1934084637817559,67862.11019530788,3.086072717283969
0.1,0.3,300,151,259,0,0,0,0,0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.399999992,0.399999992,0.399999992,30.0,30.0,30.0,67859.02412259059,67859.02412259059,0.0,67859.02412259059,0.0,True,5,30.0,0.0,67859.02412259059,0.0
